Serial_Number;Shift;PCB_Mainboard_Supplier;PCB_Batch_ID;LCD_Panel_Supplier;LCD_Batch_ID;Cable_Harness_Supplier;Cable_Batch_ID;Battery_Pack_Supplier;Housing_Case_Supplier;Thermal_Paste_Type;Ambient_Temp_C;Relative_Humidity;Air_Pressure_hPa;Particulate_PM2.5;Particulate_PM10;Screw_Torque_Nm;Screw_Count_OK;Glue_Dispense_Weight_mg;Housing_Gap_Check_mm;Soldering_Station_ID;Soldering_Temp_Set_C;Soldering_Temp_Real_C;Soldering_Time_s;Soldering_Tip_Age_Cycles;Flux_Usage_mg;Smoke_Extractor_Flow_m3h;Boot_Time_s;Standby_Current_mA;Max_Load_Current_A;Battery_Charge_Rate_A;Screen_Brightness_Nits;Dead_Pixel_Count;Touch_Response_ms;WiFi_Signal_dBm;Audio_Output_dB;Probe_Connector_Impedance_Ohm;Internal_QC_Status;Warranty_Claim;Claim_Type;Repair_Cost_USD;Firmware_Version
SN-2024-0597;Morning;Intel;PCB-I-2024-Y;Sharp;LCD-S-134;WireTech;CBL-2023-606;LG Chem;MoldMaster;Arctic-5;21.3;44.3;1018;23.6;20.7;0.89;12;153.9;0.071;Sold_01;250;250.8;3.69;1177;14.0;53.2;14.3;57.1;2.25;1.08;404;2;6.94;-56.0;72.6;49.59;Pass;No;;0.0;v2.1
SN-2024-0295;Afternoon;Intel;PCB-I-2024-C;LG;LCD-L-978;Cables-X;CBL-2023-667;LG Chem;Plast-Pro;Arctic-5;23.7;40.4;1009;23.0;36.2;1.12;12;165.6;0.069;Sold_02;250;252.2;6.05;812;12.1;49.8;14.27;50.4;2.31;1.02;397;0;7.66;-40.5;71.6;49.82;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2025-0179;Afternoon;Intel;PCB-I-2024-A;Sharp;LCD-S-471;WireTech;CBL-2024-943;LG Chem;MoldMaster;CoolM-2;23.0;61.7;1022;21.2;21.5;1.16;12;184.5;0.055;Sold_01;250;249.6;2.71;1255;12.4;52.0;13.01;54.4;2.11;1.06;359;0;6.99;-54.6;73.8;50.44;Pass;No;;0.0;v2.1
SN-2023-0594;Afternoon;Nvidia;PCB-N-2022-C;Sharp;LCD-S-714;Cables-X;CBL-2023-850;LG Chem;MoldMaster;CoolM-2;22.5;50.0;1030;23.5;20.1;0.87;12;164.9;0.145;Sold_01;250;252.8;6.42;1658;13.5;50.0;12.35;57.7;2.2;1.06;393;0;5.13;-40.2;74.6;49.6;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2024-0605;Afternoon;AMD;PCB-A-2023-C;Samsung;LCD-S-863;Cables-X;CBL-2023-750;Panasonic;MoldMaster;CoolM-2;21.5;56.2;1023;5.1;27.7;0.82;12;173.1;0.051;Sold_01;250;251.6;5.79;306;14.0;52.8;14.16;58.2;2.2;1.08;443;2;9.28;-49.3;71.1;50.24;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2024-0094;Morning;Nvidia;PCB-N-2024-B;LG;LCD-L-931;FlexConnect;CBL-2024-823;LG Chem;MoldMaster;Arctic-5;23.2;54.2;1007;17.0;29.6;0.81;12;179.7;0.092;Sold_02;250;252.3;4.35;1414;10.9;54.6;13.51;53.9;2.39;1.01;439;0;9.02;-45.7;73.2;50.34;Pass;No;;0.0;v2.2
SN-2025-0213;Morning;AMD;PCB-A-2025-Y;Sharp;LCD-S-947;Cables-X;CBL-2025-394;LG Chem;Plast-Pro;Arctic-5;25.8;53.1;1025;11.2;11.5;0.81;12;186.9;0.162;Sold_02;250;252.7;5.69;4017;11.5;51.3;13.6;44.3;2.22;1.0;441;0;6.83;-45.3;74.1;50.14;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2023-0368;Morning;Nvidia;PCB-N-2023-A;LG;LCD-L-357;FlexConnect;CBL-2023-380;Panasonic;Plast-Pro;Arctic-5;22.4;48.3;1005;20.2;28.5;0.91;12;187.0;0.082;Sold_01;250;253.3;4.73;854;12.0;53.6;13.59;52.6;2.33;1.02;362;1;5.13;-58.7;74.0;50.07;Pass;No;;0.0;v2.2
SN-2025-0337;Afternoon;Nvidia;PCB-N-2025-Y;Samsung;LCD-S-227;FlexConnect;CBL-2025-040;LG Chem;Plast-Pro;Arctic-5;23.6;57.8;1012;5.4;12.6;1.1;12;151.1;0.096;Sold_02;250;252.1;3.15;1490;13.2;52.4;14.47;44.0;2.19;1.05;373;0;5.64;-52.8;70.1;50.01;Pass;No;;0.0;v2.1
SN-2025-0425;Afternoon;Intel;PCB-I-2024-A;Samsung;LCD-S-376;WireTech;CBL-2025-302;Panasonic;MoldMaster;CoolM-2;23.9;60.1;997;12.9;31.2;1.19;12;169.0;0.068;Sold_02;250;253.3;3.31;3784;11.7;46.1;14.31;50.8;2.24;1.09;353;2;6.08;-45.6;71.6;50.44;Pass;No;;0.0;v2.1
SN-2023-0520;Morning;Nvidia;PCB-N-2022-C;Sharp;LCD-S-978;FlexConnect;CBL-2022-058;LG Chem;MoldMaster;Arctic-5;22.9;36.9;998;22.3;30.4;1.19;12;197.4;0.18;Sold_01;250;252.9;3.57;2013;10.9;51.8;13.63;51.9;2.39;1.08;440;2;9.62;-45.4;72.8;50.4;Pass;No;;0.0;v2.2
SN-2023-0252;Morning;Intel;PCB-I-2022-X;LG;LCD-L-407;FlexConnect;CBL-2023-606;LG Chem;MoldMaster;Arctic-5;23.8;59.1;1028;19.3;23.6;1.19;12;191.8;0.152;Sold_01;250;250.9;3.58;4901;10.7;54.3;13.21;59.2;2.3;1.03;382;0;5.03;-48.5;73.9;50.0;Pass;No;;0.0;v2.1
SN-2023-0472;Morning;Intel;PCB-I-2022-C;LG;LCD-L-614;Cables-X;CBL-2023-910;Panasonic;Plast-Pro;Arctic-5;25.7;54.2;1027;10.1;37.9;1.02;12;168.0;0.094;Sold_02;250;251.1;5.48;3417;14.6;47.5;13.72;42.7;2.37;1.02;380;0;8.83;-58.6;70.0;50.04;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2023-0383;Afternoon;Intel;PCB-I-2023-Y;Samsung;LCD-S-388;Cables-X;CBL-2023-207;Panasonic;Plast-Pro;Arctic-5;25.4;53.2;990;21.8;34.7;1.13;12;192.3;0.101;Sold_01;250;248.4;6.25;3734;11.5;51.6;14.53;46.7;2.32;1.03;405;0;8.39;-43.5;74.7;50.18;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2025-0650;Afternoon;AMD;PCB-A-2025-A;LG;LCD-L-995;Cables-X;CBL-2024-372;LG Chem;Plast-Pro;CoolM-2;23.2;48.5;1007;8.1;26.4;1.15;12;188.8;0.051;Sold_02;250;248.3;5.56;2304;13.6;45.6;14.27;48.6;2.19;1.08;426;1;9.68;-57.8;72.6;50.1;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2023-0608;Afternoon;Intel;PCB-I-2022-X;Samsung;LCD-S-797;WireTech;CBL-2022-407;LG Chem;MoldMaster;Arctic-5;22.7;47.8;1028;20.9;16.0;0.93;12;186.0;0.124;Sold_01;250;253.8;2.86;4080;10.1;50.9;12.15;40.3;2.24;1.04;392;1;7.57;-42.1;72.4;50.22;Pass;No;;0.0;v2.2
SN-2024-0403;Afternoon;AMD;PCB-A-2024-B;Samsung;LCD-S-408;Cables-X;CBL-2024-664;LG Chem;Plast-Pro;CoolM-2;23.4;46.8;1022;16.1;20.1;1.19;12;198.9;0.142;Sold_01;250;253.7;6.29;4566;10.7;53.4;14.18;49.2;2.12;1.06;442;0;7.53;-45.9;73.1;50.38;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
